Site,Obs1,Obs2,Obs3,C,T,M,D,Snow1,Snow2,Snow3,Elevation,Min,Max,Snow
/*100r */,0,.,.,0,0,0,1,1,9,9,482,16.554831,31.623037,6.1;
/*101r */,0,.,.,0,1,0,0,1,9,9,387,16.09384,32.430004,5.7;
/*102r */,0,.,.,0,0,0,1,1,9,9,606,12.977255,31.016951,5.9;
/*102t */,0,.,.,0,1,0,0,1,9,9,507,12.895622,31.016951,5.9;
/*104r */,1,1,1,0,1,0,0,1,1,0,643,13.088987,31.215921,5.8;
/*109r */,0,.,.,0,0,0,1,1,9,9,540,14.38825,30.964142,5.8;
/*10r */,1,1,0,1,0,0,0,0,1,0,625,13.264681,32.290955,4.9;
/*110r */,0,.,.,0,1,0,0,1,9,9,524,12.615633,31.215921,5.8;
/*111r */,1,1,0,0,1,0,0,1,1,0,582,16.696411,31.623037,5.7;
/*112r */,0,.,.,0,1,0,0,1,9,9,628,13.223763,31.016951,6.0;
/*112t */,0,.,.,0,1,0,0,1,9,9,586,13.223763,31.016951,6.0;
/*113r */,1,.,.,0,1,0,0,1,9,9,717,13.304784,31.327225,5.5;
/*114r */,0,.,.,0,1,0,0,1,9,9,464,16.994839,31.623037,6.1;
/*115r */,0,.,.,0,1,0,0,1,9,9,619,16.681147,32.457981,3.6;
/*116r */,1,1,.,0,1,0,0,1,0,9,544,14.402786,31.623037,6.0;
/*117r */,1,1,.,0,1,0,0,1,0,9,577,14.326884,31.623037,5.4;
/*11r */,0,.,.,1,0,0,0,1,9,9,402,13.835827,33.115616,5.6;
/*11t */,0,.,.,0,1,0,0,1,9,9,371,13.829522,32.836323,5.6;
/*120r */,0,.,.,0,0,0,1,0,9,9,515,16.625189,32.598953,3.4;
/*121r */,0,.,.,0,0,1,0,1,9,9,494,17.356808,31.623037,5.8;
/*124r */,0,.,.,0,0,1,0,1,9,9,386,15.870721,32.103073,4.4;
/*125r */,0,.,.,0,0,1,0,1,9,9,437,17.84693,33.968723,3.3;
/*125t */,1,.,.,0,1,0,0,1,9,9,153,17.598904,33.968723,3.3;
/*128r */,0,.,.,0,0,1,0,1,9,9,336,16.820051,33.916092,4.1;
/*129r */,0,.,.,0,0,1,0,1,9,9,412,16.09664,32.969818,3.9;
/*12r */,0,.,.,1,0,0,0,0,9,9,464,15.061719,32.515076,4.4;
/*130r */,0,.,.,0,0,1,0,1,9,9,378,14.050028,31.909708,5.2;
/*132r */,0,.,.,0,0,1,0,1,9,9,506,15.157475,33.98925,5.4;
/*133r */,1,.,.,0,0,1,0,1,9,9,410,15.568608,34.269413,5.6;
/*134r */,0,.,.,1,0,0,0,0,9,9,218,16.78105,33.968723,3.2;
/*135r */,0,.,.,1,0,0,0,1,9,9,476,15.853932,33.254456,4.5;
/*138r */,1,.,.,0,0,1,0,1,9,9,657,15.378525,32.359482,4.1;
/*138t */,1,.,.,0,1,0,0,1,9,9,684,15.56519,32.801785,3.9;
/*139r */,1,.,.,0,0,1,0,1,9,9,427,15.91492,31.691298,4.2;
