Transect,Visit,Sample,ID,Species,Note
33,1,1,33-1-1,Snowshoe Hare,Remove
33,1,2,33-1-2,Snowshoe Hare,
33,2,1,33-2-1,Snowshoe Hare,
33,2,2,33-2-2,Snowshoe Hare,
33,3,1,33-3-1,Snowshoe Hare,
36,1,1,36-1-1,Eastern Cottontail,
36,1,2,36-1-2,UNKNOWN,
36,1,3,36-1-3,Eastern Cottontail,
36,1,4,36-1-4,Eastern Cottontail,
51,1,1,51-1-1,Snowshoe Hare,
51,1,2,51-1-2,Snowshoe Hare,
51,1,3,51-1-3,Snowshoe Hare,
51,2,1,51-2-1,Snowshoe Hare,
51,2,2,51-2-2,Snowshoe Hare,
51,2,3,51-2-3,Snowshoe Hare,
51,2,4,51-2-4,Snowshoe Hare,
51,2,5,51-2-5,Snowshoe Hare,
58,1,1,58-1-1,Appalachian Cottontail,
58,1,2,58-1-2,Appalachian Cottontail,
58,2,1,58-2-1,Appalachian Cottontail,
58,2,2,58-2-2,Appalachian Cottontail,
58,2,3,58-2-3,Appalachian Cottontail,
58,2,4,58-2-4,Appalachian Cottontail,
58,2,5,58-2-5,Appalachian Cottontail,
58,2,6,58-2-6,Appalachian Cottontail,
65,1,1,65-1-1,UNKNOWN,
67,1,1,67-1-1,Eastern Cottontail,
70,1,1,70-1-1,Eastern Cottontail,
70,1,2,70-1-2,Eastern Cottontail,
81,1,1,81-1-1,UNKNOWN,
81,1,2,81-1-2,UNKNOWN,
81,1,3,81-1-3,UNKNOWN,
81,1,4,81-1-4,UNKNOWN,
81,2,1,81-2-1,UNKNOWN,
81,2,2,81-2-2,UNKNOWN,
81,2,3,81-2-3,UNKNOWN,
89,1,1,89-1-1,UNKNOWN,
89,2,1,89-2-1,UNKNOWN,
89,2,2,89-2-2,Eastern Cottontail,
89,2,3,89-2-3,Eastern Cottontail,
90,1,1,90-1-1,Snowshoe Hare,
90,1,2,90-1-2,Snowshoe Hare,
90,1,3,90-1-3,Snowshoe Hare,
90,1,4,90-1-4,Snowshoe Hare,
90,2,1,90-2-1,Snowshoe Hare,
90,2,2,90-2-2,Snowshoe Hare,
90,2,3,90-2-3,Snowshoe Hare,
91,1,1,91-1-1,Snowshoe Hare,
91,1,2,91-1-2,Snowshoe Hare,
91,1,3,91-1-3,Snowshoe Hare,
91,3,1,91-3-1,Eastern Cottontail,
91,3,2,91-3-2,Eastern Cottontail,
91,3,3,91-3-3,Eastern Cottontail,
91,3,4,91-3-4,Eastern Cottontail,
91,3,5,91-3-5,Eastern Cottontail,
95,1,1,95-1-1,Snowshoe Hare,
95,1,2,95-1-2,Snowshoe Hare,
95,1,3,95-1-3,Snowshoe Hare,
95,1,4,95-1-4,Snowshoe Hare,
97,2,1,97-2-1,Snowshoe Hare,
97,2,2,97-2-2,Snowshoe Hare,
97,2,3,97-2-3,Snowshoe Hare,
97,2,4,97-2-4,Snowshoe Hare,
97,2,5,97-2-5,Snowshoe Hare,
97,2,6,97-2-6,Snowshoe Hare,
97,3,1,97-3-1,Snowshoe Hare,
97,3,2,97-3-2,Snowshoe Hare,
97,3,3,97-3-3,Snowshoe Hare,
97,3,4,97-3-4,Snowshoe Hare,
97,3,5,97-3-5,Snowshoe Hare,
97,3,6,97-3-6,Snowshoe Hare,
102,1,1,102-1-1,Eastern Cottontail,
102,1,2,102-1-2,Eastern Cottontail,
108,1,1,108-1-1,Eastern Cottontail,
115,1,1,115-1-1,Eastern Cottontail,
128,1,1,128-1-1,Eastern Cottontail,
128,1,2,128-1-2,Eastern Cottontail,
128,1,3,128-1-3,Eastern Cottontail,
128,1,4,128-1-4,Eastern Cottontail,
128,1,5,128-1-5,Eastern Cottontail,
128,1,6,128-1-6,Eastern Cottontail,
128,1,7,128-1-7,UNKNOWN,
137,1,1,137-1-1,Snowshoe Hare,
137,1,2,137-1-2,Snowshoe Hare,
137,1,3,137-1-3,Snowshoe Hare,
137,1,4,137-1-4,Snowshoe Hare,
137,1,5,137-1-5,Snowshoe Hare,
138,1,1,138-1-1,Eastern Cottontail,
151,1,1,151-1-1,Eastern Cottontail,
151,1,2,151-1-2,Eastern Cottontail,
