TransectPoints.OBJECTID,TransectPoints.ForestType,TransectPoints.TransectID,TransectPoints.CoordX,TransectPoints.CoordY,TransectPoints.Permission
1,Forested,1,-78.11812209,41.03485929,Not Done
2,Forested,2,-78.49499317,41.09098827,Done
3,Forested,3,-78.36389855,41.10545164,Not Done
4,Forested,4,-79.47289222,41.28138081,Not Done
5,Forested,5,-77.75926877,41.04564978,Done
6,Forested,6,-78.22265075,41.12490354,Not Done
7,Forested,7,-78.74820163,41.20429456,Done
8,Forested,8,-79.04047057,41.25034455,Not Done
9,Forested,9,-78.02413887,41.10987935,Not Done
10,Forested,10,-77.88933964,41.10369845,Not Done
11,Forested,11,-78.61001293,41.21152522,Done
12,Forested,12,-78.90454447,41.28435326,Done
13,Forested,13,-78.41465385,41.25320143,Done
14,Forested,14,-78.74178098,41.30150358,Not Done
15,Forested,15,-77.71601423,41.16058428,Not Done
16,Forested,16,-77.25891498,41.1066048,Done
17,Forested,17,-79.21538956,41.40105755,Not Done
18,Forested,18,-79.09001391,41.39094102,Done
19,Forested,19,-76.62145311,41.03637163,Not Done
20,Forested,20,-78.22573818,41.28569942,Done
21,Forested,21,-77.56690294,41.19132137,Done
22,Forested,22,-76.93949091,41.09805295,Not Done
23,Forested,23,-78.82267457,41.38442576,Done
24,Forested,24,-77.89525077,41.28466204,Done
25,Forested,25,-77.05793586,41.16512029,Done
26,Forested,26,-76.1306138,41.02547742,Not Done
27,Forested,27,-77.73048241,41.29044379,Done
28,Forested,28,-78.64909106,41.42619204,Not Done
29,Forested,29,-78.04290674,41.34500152,Done
30,Forested,30,-77.2733786,41.23335489,Not Done
31,Forested,31,-78.35741334,41.39247711,Done
32,Forested,32,-79.40743084,41.55695654,Done
33,Forested,33,-78.8342133,41.48080339,Positive
34,Forested,34,-76.86181868,41.20441846,Not Done
35,Forested,35,-76.27330572,41.11366095,Done
36,Forested,36,-75.98173244,41.0676061,Done
37,Forested,37,-77.45864364,41.30002443,Not Done
38,Forested,38,-76.53386213,41.16077313,Not Done
39,Forested,39,-79.09466485,41.53535077,Done
40,Forested,40,-78.15082991,41.40609474,Done
41,Forested,41,-78.94768381,41.52224613,Done
42,Forested,42,-77.82637712,41.37960305,Done
43,Forested,43,-79.27108981,41.59136472,Done
44,Forested,44,-75.26551853,41.02384267,Not Done
45,Forested,45,-78.72486569,41.5477273,Done
46,Forested,46,-76.60861806,41.24125649,Not Done
47,Forested,47,-77.98532763,41.4481633,Done
48,Forested,48,-77.65722081,41.40107877,Done
49,Forested,49,-77.24877271,41.34120473,Not Done
50,Forested,50,-75.62541986,41.09260345,Not Done
51,Forested,51,-75.83897758,41.1335966,Positive
52,Forested,52,-79.57476979,41.68970602,Not Done
53,Forested,53,-77.3695808,41.38529094,Done
54,Forested,54,-78.95941673,41.61862564,Done
55,Forested,55,-78.28793667,41.52679726,Not Done
56,Forested,56,-77.13648923,41.38026718,Done
57,Forested,57,-78.82121708,41.6229226,Done
58,Forested,58,-79.43622768,41.71423307,Done
59,Forested,59,-79.1102202,41.6714201,Done
60,Forested,60,-75.72534241,41.1745547,Not Done
61,Forested,61,-76.07555181,41.23372714,Not Done
62,Forested,62,-78.11856846,41.54888485,Done
63,Forested,63,-77.81467041,41.5089666,Done
64,Forested,64,-75.4114241,41.14332568,Not Done
65,Forested,65,-76.66966963,41.35569963,Done
66,Forested,66,-77.48135066,41.48037576,Done
67,Forested,67,-76.86848131,41.38922982,Done
68,Forested,68,-76.48200878,41.3301271,Done
69,Forested,69,-78.49261837,41.62717251,Done
70,Forested,70,-76.22128288,41.31254862,Done
71,Forested,71,-79.50809243,41.82154709,Not Done
72,Forested,72,-77.96060253,41.61169291,Done
73,Forested,73,-78.78170714,41.72877973,Done
74,Forested,74,-78.97668808,41.76479399,Done
75,Forested,75,-78.28666588,41.67065459,Done
76,Forested,76,-79.12968917,41.79167246,Done
77,Forested,77,-77.08857666,41.50763526,Not Done
78,Forested,78,-75.59405603,41.27510982,Not Done
79,Forested,79,-75.04042268,41.18415117,Not Done
80,Forested,80,-77.61568884,41.59171135,Done
81,Forested,81,-77.32980449,41.54996004,Done
82,Forested,82,-76.54982961,41.43584645,Done
83,Forested,83,-78.12265346,41.67062132,Done
84,Forested,84,-75.91225901,41.33936088,Done
85,Forested,85,-79.35990629,41.84805348,Not Done
86,Forested,86,-76.29137601,41.40896198,Done
