OBJECTID_1,Field1,SiteID,SiteID2,Latitude1,Longitude1,OBJECTID,Join_Count,TARGET_FID,Latitude,Longitude,Elevation,Index,sf1,sd1,dd1,bf1,PercF4500,PercES4500,PercES
1,1,1,1r,41.11218,-75.10042,1,1,1,41.11202839,-75.10200347,271.6777649,96926,107.2985611,52.38920212,-109.5655746,27.60179901,0.8995,0.011477778,0
2,2,2,2r,41.03007,-78.2499,2,1,2,41.03072376,-78.25097253,439.7348022,923,120.294426,56.92249298,-150.0894775,34.62355804,0.773077778,0.007333333,0
3,3,3,3r,41.28727,-76.86886,3,1,3,41.28768907,-76.86986682,258.6166687,67603,96.68715668,46.69192123,-113.453125,29.37435341,0.5023,0.016144444,0
4,4,5,5r,41.43736,-77.27422,4,1,4,41.43707237,-77.27602673,353.6906128,91814,94.59016418,51.44535828,-129.313324,31.98096275,0.907522222,0.008477778,0
5,5,7,7r,41.12362,-76.30822,5,1,5,41.12276573,-76.31047596,237.3742981,49478,92.98870087,49.97847748,-117.9087601,29.4355278,0.570455556,0.006511111,0
6,6,8,8r,41.13702,-78.68671,6,1,6,41.13690189,-78.68572011,449.2247314,265044,107.7949371,57.60004425,-158.1058807,36.10325623,0.748177778,0.013055556,0.069444444
7,7,9,9r,41.36544,-76.72445,7,1,7,41.36413337,-76.72488278,539.8666382,94700,140.3313904,61.04753494,-189.0176239,41.97357178,0.961655556,0.0063,0
8,8,10,10r,41.83537,-77.7912,8,1,8,41.83652353,-77.7908115,640.3076782,183884,147.4788971,70.05363464,-210.7556,45.36671829,0.792222222,0.013577778,0
9,9,11,11r,41.52163,-75.1781,9,1,9,41.52019167,-75.17910602,416.1032715,208081,134.2035522,71.00856781,-177.8034363,39.10237503,0.861488889,0.036955556,0
10,10,11,11t,41.54775,-75.15173,10,1,10,41.54878968,-75.15267999,381.8791199,215691,129.4695892,69.66516113,-169.6541595,37.52526855,0.810655556,0.032733333,0
11,11,12,12r,41.61046,-77.77994,11,1,11,41.60879331,-77.77964103,479.8369446,119397,131.0214539,63.31908417,-182.760376,40.68688583,0.945211111,0.005866667,0
12,12,13,13r,41.55754,-77.19508,12,1,12,41.55629107,-77.19507077,605.3555298,128805,135.7557678,63.97634506,-192.5193787,42.65943146,0.711422222,0.010233333,0
13,13,14,14r,41.50881,-75.79566,13,1,13,41.50843321,-75.79656076,381.0110474,176691,120.8445358,63.02151871,-153.8399353,36.8094368,0.5456,0.033833333,0
14,14,14,14t,41.50701,-75.80128,14,1,14,41.50596767,-75.80172508,337.2527466,175738,119.9254379,62.32229614,-144.2961884,35.23069763,0.5469,0.033455556,0.013888889
15,15,15,15r,41.6956,-77.45678,15,1,15,41.69617857,-77.45474639,535.0219727,157547,107.6488419,61.70238113,-163.098465,37.8117485,0.838122222,0.012566667,0
16,16,16,16r,41.29416,-77.52257,16,1,16,41.29296269,-77.52234302,522.8277588,46455,135.8856506,60.63256836,-167.0398865,37.53652954,0.995788889,0.007644444,0.055555556
17,17,16,16t,41.31325,-77.51485,17,1,17,41.3150496,-77.51648199,524.868103,51285,133.3886719,60.12640381,-167.9404602,37.76171875,0.992644444,0.0067,0
18,18,17,17r,41.61154,-77.25697,18,1,18,41.61118318,-77.25563079,442.082428,141707,109.4404144,57.08544159,-156.7400818,36.87274551,0.894588889,0.012777778,0
19,19,18,18r,41.5223,-78.05347,19,1,19,41.52344284,-78.05431861,480.7307739,84319,122.9025116,69.60490417,-171.8444366,39.1019249,0.9788,0.009422222,0
20,20,19,19r,41.56554,-76.12951,20,1,20,41.56475752,-76.13147581,349.6611023,177564,118.7957382,59.48335266,-147.0865784,35.86733627,0.686022222,0.022733333,0
21,21,19,19t,41.5686,-76.12946,21,1,21,41.56790418,-76.13057314,342.797821,178517,118.8514328,59.12924957,-142.5061646,35.11243439,0.680777778,0.023122222,0
22,22,20,20r,41.50611,-76.03144,22,1,22,41.50645641,-76.03268145,486.0276184,165339,134.1608887,69.10250854,-186.8460846,42.37666321,0.820955556,0.011744444,0
23,23,21,21r,41.92717,-75.73801,23,1,23,41.92674621,-75.73647677,334.8736267,257611,155.9221497,67.04432678,-165.8030396,38.40755463,0.878811111,0.013588889,0
24,24,23,23r,41.28686,-76.73074,24,1,24,41.28594134,-76.7288528,327.1098938,72820,107.9335709,50.84352493,-136.3562012,33.14664841,0.690533333,0.005755556,0
25,25,24,24r,41.53058,-75.93204,25,1,25,41.53007897,-75.93252692,319.1263733,176659,106.7540512,55.80480957,-132.836853,33.4190979,0.621988889,0.035133333,0
26,26,25,25r,41.34291,-76.94443,26,1,26,41.34149066,-76.94355133,385.1049805,79110,117.7849197,49.11333466,-145.693161,34.76649094,0.689177778,0.010511111,0
27,27,26,26r,41.52527,-76.89654,27,1,27,41.52492965,-76.89759749,520.5635376,132543,124.7135544,58.94245529,-176.7303314,40.30793762,0.985666667,0.008977778,0
28,28,27,27r,41.19901,-77.43312,28,1,28,41.19789918,-77.43287465,485.6850891,29837,129.4596405,56.14334488,-154.8948822,35.29472351,0.885866667,0.008022222,0.020833333
29,29,28,28r,41.17368,-76.45194,29,1,29,41.17415929,-76.45060355,299.5499878,55886,104.3825302,51.96430969,-135.9111786,32.48859406,0.5386,0.007766667,0
30,30,29,29r,41.41836,-78.225,30,1,30,41.42004139,-78.22676587,366.2896118,51827,105.8937607,61.24795914,-154.1709442,36.17312241,0.949811111,0.011855556,0
31,31,30,30r,41.40877,-76.78516,31,1,31,41.40913801,-76.78327383,483.9115906,104799,127.3452759,57.73714828,-169.1525421,38.7905159,0.938255556,0.012311111,0
32,32,31,31r,41.53368,-77.71222,32,1,32,41.53336003,-77.71086074,528.9447632,100902,128.7582397,62.12765503,-171.2421417,38.88293076,0.989877778,0.012488889,0
33,33,32,32r,41.10773,-78.41772,33,1,33,41.1062399,-78.41645183,536.9125977,3827,137.6356506,63.12132645,-171.3890076,38.23445892,0.943844444,0.013244444,0.020833333
