transectid,survey_visit_no,snow_condition,last_snow_event
2,1,0 - 25%,Over 7
5,1,75 - 100%,2
7,1,0 - 25%,Over 7
11,1,0 - 25%,3
12,1,0 - 25%,Over 7
13,1,0 - 25%,2
16,1,0 - 25%,4
18,1,25 - 75%,3
20,1,25 - 75%,2
21,1,0 - 25%,3
23,1,0 - 25%,1
24,1,0 - 25%,7
25,1,0 - 25%,Over 7
27,1,25 - 75%,7
29,1,0 - 25%,7
31,1,0 - 25%,2
32,1,0 - 25%,5
33,1,0 - 25%,Over 7
33,2,0 - 25%,5
33,3,0 - 25%,7
35,1,0 - 25%,Over 7
36,1,0 - 25%,Over 7
39,1,75 - 100%,2
39,2,0 - 25%,Over 7
40,1,0 - 25%,7
41,1,75 - 100%,4
42,1,0 - 25%,2
43,1,75 - 100%,2
45,1,0 - 25%,Over 7
47,1,25 - 75%,7
48,1,75 - 100%,2
51,1,0 - 25%,Over 7
51,2,0 - 25%,5
51,3,75 - 100%,1
53,1,0 - 25%,Over 7
54,1,75 - 100%,4
56,1,0 - 25%,Over 7
57,1,0 - 25%,3
58,1,0 - 25%,4
58,2,0 - 25%,5
59,1,25 - 75%,3
62,1,25 - 75%,Over 7
63,1,25 - 75%,6
65,1,0 - 25%,Over 7
65,2,0 - 25%,Over 7
66,1,0 - 25%,Over 7
67,1,0 - 25%,Over 7
68,1,75 - 100%,2
69,1,0 - 25%,Over 7
70,1,0 - 25%,Over 7
72,1,75 - 100%,6
73,1,0 - 25%,3
74,1,25 - 75%,3
75,1,0 - 25%,Over 7
76,1,0 - 25%,6
77,1,0 - 25%,7
77,2,25 - 75%,6
80,1,25 - 75%,3
81,1,25 - 75%,7
81,2,0 - 25%,Over 7
82,1,0 - 25%,Over 7
83,1,75 - 100%,Over 7
84,1,0 - 25%,7
86,1,75 - 100%,7
87,1,0 - 25%,Over 7
88,1,0 - 25%,2
89,1,25 - 75%,Over 7
89,2,0 - 25%,Over 7
90,1,0 - 25%,1
90,2,0 - 25%,Over 7
91,1,75 - 100%,7
91,2,75 - 100%,2
91,3,0 - 25%,Over 7
94,1,0 - 25%,Over 7
95,1,0 - 25%,Over 7
96,1,75 - 100%,2
97,1,75 - 100%,2
97,2,0 - 25%,Over 7
97,3,0 - 25%,Over 7
98,1,75 - 100%,6
99,1,0 - 25%,Over 7
102,1,0 - 25%,Over 7
105,1,75 - 100%,Over 7
107,1,25 - 75%,Over 7
108,1,25 - 75%,3
109,1,75 - 100%,1
112,1,0 - 25%,4
115,1,25 - 75%,6
117,1,75 - 100%,2
118,1,25 - 75%,Over 7
119,1,0 - 25%,Over 7
121,1,75 - 100%,1
123,1,75 - 100%,Over 7
126,1,0 - 25%,Over 7
128,1,0 - 25%,Over 7
129,1,0 - 25%,Over 7
130,1,75 - 100%,1
132,1,75 - 100%,1
137,1,0 - 25%,Over 7
138,1,0 - 25%,Over 7
142,1,75 - 100%,4
143,1,0 - 25%,Over 7
144,1,0 - 25%,Over 7
145,1,0 - 25%,Over 7
148,1,75 - 100%,4
149,1,0 - 25%,Over 7
151,1,75 - 100%,1
152,1,0 - 25%,Over 7
155,1,0 - 25%,3
156,1,75 - 100%,2
158,1,25 - 75%,2
159,1,0 - 25%,Over 7
160,1,0 - 25%,1
160,2,0 - 25%,Over 7
161,1,75 - 100%,1
162,1,25 - 75%,1
165,1,75 - 100%,3
166,1,0 - 25%,Over 7
167,1,0 - 25%,3
168,1,,
169,1,0 - 25%,1
170,1,0 - 25%,5
171,1,0 - 25%,6
172,1,75 - 100%,1
173,1,0 - 25%,Over 7
174,1,0 - 25%,1
175,1,0 - 25%,Over 7
176,1,75 - 100%,4
177,1,75 - 100%,1
178,1,25 - 75%,7
179,1,0 - 25%,6
180,1,0 - 25%,Over 7
181,1,0 - 25%,7
182,1,75 - 100%,3
183,1,0 - 25%,7
184,1,75 - 100%,4
186,1,75 - 100%,1
187,1,75 - 100%,2
188,1,75 - 100%,2
189,1,0 - 25%,Over 7
189,2,0 - 25%,5
189,3,0 - 25%,Over 7
190,1,0 - 25%,Over 7
191,1,0 - 25%,Over 7
192,1,75 - 100%,1
192,2,0 - 25%,Over 7
193,1,25 - 75%,6
194,1,0 - 25%,Over 7
195,1,0 - 25%,Over 7
196,1,0 - 25%,6
197,1,25 - 75%,2
198,1,0 - 25%,Over 7
199,1,,
200,1,75 - 100%,2
202,1,0 - 25%,Over 7
202,2,0 - 25%,5
202,3,75 - 100%,1
203,1,0 - 25%,5
203,2,0 - 25%,5
205,1,75 - 100%,1
206,1,0 - 25%,Over 7
207,1,0 - 25%,Over 7
208,1,0 - 25%,Over 7
210,1,25 - 75%,7
211,1,0 - 25%,2
211,2,0 - 25%,Over 7
212,1,0 - 25%,Over 7
212,3,0 - 25%,5
213,1,0 - 25%,Over 7
213,2,25 - 75%,6
214,1,0 - 25%,Over 7
215,1,0 - 25%,Over 7
215,2,0 - 25%,2
216,1,0 - 25%,Over 7
218,1,0 - 25%,4
219,1,75 - 100%,7
219,2,0 - 25%,Over 7
219,3,75 - 100%,4
220,1,75 - 100%,2
222,1,75 - 100%,Over 7
223,1,25 - 75%,Over 7
223,2,0 - 25%,2
224,1,75 - 100%,4
224,2,0 - 25%,Over 7
225,1,0 - 25%,Over 7
225,2,0 - 25%,Over 7
226,1,25 - 75%,2
226,2,0 - 25%,Over 7
227,1,25 - 75%,4
227,2,0 - 25%,Over 7
229,1,0 - 25%,Over 7
230,1,75 - 100%,1
230,2,75 - 100%,4
231,1,25 - 75%,Over 7
231,2,0 - 25%,2
232,1,0 - 25%,Over 7
234,1,0 - 25%,Over 7
234,2,0 - 25%,Over 7
235,1,75 - 100%,1
238,1,75 - 100%,Over 7
238,2,0 - 25%,Over 7
239,1,0 - 25%,Over 7
241,1,75 - 100%,Over 7
242,1,0 - 25%,5
242,2,0 - 25%,1
242,3,0 - 25%,6
244,1,25 - 75%,3
245,1,75 - 100%,7
245,2,75 - 100%,3
246,1,0 - 25%,3
247,1,75 - 100%,3
247,2,0 - 25%,Over 7
248,1,75 - 100%,2
249,1,0 - 25%,Over 7
250,1,0 - 25%,3
250,2,0 - 25%,6
251,1,25 - 75%,Over 7
253,1,0 - 25%,Over 7
253,2,0 - 25%,4
